,Question,Answer
545,What?,Did you call the cops?
546,"Oh, somebody will.",You know there already is a Joseph Stalin?
547,You're kidding.,Apparently he was this Russian dictator who slaughtered all these people. You'd think you would've known that!
548,"Y'know, you'd think I would've.",Phoebe. Whaddyou think a good stage name for me would be?
549,"He- he- he got in, he- he got in to San Diego.","We, we come back from our walk and the- the phone was ringing..."
550,"Okay, bye, champ. Now, I know there's gonna be a lot of babes in San Diego, but remember, there's also a lot to learn.","I dunno what to say, Ross. Uh, it's a monkey."
551,"Just, just say what you feel.","Marcel, I'm hungry."
552,Next.,"Hi, uh, I'll be reading for the role of Mercutio."
553,Name?,Holden McGroin.
554,Wow!,Exellent dream score.
555,"Uh, uh, gimme. Can you see me operating a drill press?",I don't know. What are you wearing?
556,"""No, nothing like that. I was just...such a dummie. I taught this """"massage-yourself-at-home-workshop."""" And they are.""","Hey, hey, Chan. She could work for you."
557,"Oh, it's my new beeper.",What the hell does a paleontologist need a beeper for?
558,Thank you.,How young is young Ethan? Young?
559,A-ha!,Would you let it go Ross. It was just a dream. It doesn't mean...
560,"Oh, oh. Oh, oh. Oh this is it. Oh my god it's baby time. Baby time.","All right, relax, relax. Just relax, just relax. Be cool, be cool."
561,"Yeah, hi, I was just beeped. No, Andr is not here. Third time today. Yes, I'm sure... No, sir. I don't perform those kind of services.","Services? Oh, services."
562,,"Hey, hey. How was the first day?"
563,"Oh, oh Chandler...","Oh... Yeah, you do."
564,,My scones.
565,My scones.,'My scones.'
566,"All right, fine. Um, you were not the only one there. Joey was there too.",All right.
567,Huh!,"So, tell me. Was it like you and Chandler, and then you and me, or you and me and Chandler?"
568,You know what?,What?
569,"I, I didn't say any... I sw... I did not say anything, I swear. He stopped by.","Listen, the next time you talk to him, can you ask him which one the strongest Power Ranger is?"
570,It's morphin time!,Stegosaurus!
571,"Oh, Carol and I have a new system. If she punches in 911, it means she's having a baby, otherwise I just ignore it.",What about Andre?
572,True story.,They're here already?
573,Are you're hands still wet?,"Uh, moist, yeah."
574,"Joey, get out of the fridge.","All right, all right."
575,What is that?,For the ride.
576,"That's nice. Get out Let's go, come on.","All right, I'm going. I'm going."
577,,Do we have to know about that?
578,"Joey, what are you gonna do when you have a baby?","I'm gonna be in the waitin' room, handing out cigars."
579,,"Shoot! Shoot! Shoot! Shoot, or just fall down. That's good too."
580,Knick fan?,"Oh, yeah."
581,"Oh, boy, do they suck.","Hey, listen, lady.... ...whoa."
582,"Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit water if he was standing on a boat.",Oh yeah? And who do you like?
583,The Celtics.,"The Celtics? Ha. They couldn't hit a boat if...wait. They suck, alright?"
584,"Oh, shut up. You know, it's a rebuilding year. You... waah!","Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We need a father!"
585,There is no father.,"Oh, oh, oh, sorry."
586,"Ok, that's ok. I'm fine. I'm... oh!","Oh, uh, ok. Right this way. All the other pregnant women seem to be goin' in here."
587,"Mom, we've been through this. No, I'm not calling him. I don't care if it is his kid, the guy's a jerk. No, I'm not alone. Joey's here. What do you mean, Joey who? Joey who?",Tribbiani.
588,"Joey Tribbiani. Yes, ok. Hold on. She wants to talk to you. Take the phone.","Hi, yeah, it's me. Oh, no no no, we're just friends. Yeah, I'm single. 25. An actor. Hello?"
589,She's not much of a phone person.,"Yeah, so, uh, so, uh, what's the deal with this father guy, I mean, if someone was havin' my baby somewhere, I'd wanna know about it, you know?"
590,"Hey, Knick fan, am I interested in your views on fatherhood? Uh, no.","Ok, look, maybe I should just go."
591,Maybe you should.,"Good luck, and uh, take care, huh?"
592,,You know what the Celtics problem is? They let the players run the team.
593,"Oh, that is so not true.","Oh, it is."
594,It isn't.,It is.
595,,Ew! What is that? Something exploded!
596,"It's just her water breaking. Calm down, will you?","Water breaking, what do you mean? What's that, water breaking?"
597,"It really was. There was this great little pastry shop right by my hotel. There you go, dear.","Come on, Lydia, you can do it. Push! Push 'em out, push 'em out, harder, harder. Push 'em out, push 'em out, way out! Let's get that ball and really move, hey, hey, ho, ho. Let's I was justyeah, right. Push! Push!"
598,Where have you been?,"Oh, just had a baby."
599,"Yeah, honey, they wouldn't miss this.",Relax. You're only at nine centimeters. And the baby's at zero station.
600,"Oh, I know. Look at him.","Ben, Ben, hey Ben. Nothing. I don't think that's his name."
601,"Oh, look, look, he's closing his eyes. Look, he's opening his eyes.","He doesn't do much, does he?"
602,,"Hey, Chan, can you help me out here? I promise I'll pay you back."
603,"Oh, yeah, right, OK... inlcuding the waffles last week, you now owe me... 17 jillion dollars.","I will, really. I'll pay you back this time."
604,... And where's this money coming from?,Well... I'm helping out down at the N.Y.U. Med School with some... research.
605,What kind of research?,"Oh, just, y'know.... science."
606,"Science. Yeah, I think I've heard of that.",... It's a fertility study.
607,"Oh, Joey, please tell me you're only donating your time.","Alright, come on you guys, it's not that big a deal. Really... I mean, I just go down there every other day and... make my contribution to the project. Hey, hey, but at the end of two weeks, I get seven hundred dollars."
608,Men are here.,We make fire. Cook meat.
609,"Oh Joey, Melanie called, said she's gonna be late.","Oh, OK."
610,So how are things going with you two? Is she becoming your special someone?,"I don't know, she's, uh.... she's pretty great."
611,Yeah? What does she think of your little science project?,"What, you think I'm gonna tell a girl I like that I'm also seeing a cup?"
612,Man's got a point.,"Well, the tough thing is, she really wants to have sex with me."
613,Crazy bitch.,"Yeah, well, I still got a week left to go in the program, and according to the rules, if I want to get the money I'm not allowed to conduct any... ersonal experiments, if you know what I mean."
614,Hi.,Hey!
615,....I have to go to China.,The country?
616,"Well, Rachel's having drinks with him tonight.",Oh no! How can she do that when she's never shown any interest in you?!?
617,Forget about her.,"He's right, man. Please. Move on. Go to China. Eat Chinese food."
618,"Yeah... I guess. I don'tI don't know. Alright, just... just give her this for me, OK?","Listen, buddy, we're just looking out for you."
619,I know.,"We want you to be happy. And I may only have a couple beers in me, but... I love you, man."
620,"Anyway, that's when me and my friends started this whole fruit basket business. We call ourselves 'The Three Basketeers.'","Like the three musketeers, only with fruit."
621,"Hey, hold on there, tiger. How's it going? How you holding up?","Well, not so good. She definitely thinks tonight is the night we're gonna... complete the transaction, if you know what I..."
622,,"Then you do. Heh, heh."
623,"So, uh, have you ever thought about being there for her?",What do you mean?
624,,Not following you.
625,"Oh, it's Dr. Seuss!",: That book got me through some tough times.
626,"Oh, no-no-no-no-no....","That's good, just keep rubbing your head. That'll turn back time."
627,"No! None! I mean, my first night in the city, he mentioned something about asking me out, but nothing ever happened, so I just... : W-well, what else did he say? I mean, does he, like, want to go out with me?","Well, given that he's desperately in love with you, he probably wouldn't mind getting a cup of coffee or something."
628,H-He's in China!,The country.
629,Well then maybe you shouldn't go.,"He's right, cause if you're just gonna, like, break his heart, that's the kind of thing that can wait."
630,"Mmmmmm... Oh, Joey, Joey, Joey... I think I blacked out there for a minute!","Heh, heh. It was nothin'."
631,"Well, now we've gotta find something fun for you!","Uhhh.. y'know what? Forget about me. Let's, uh... let's give you another turn."
632,M-Me again?,Sure! Why not?
633,"Oooh, I gotta tell you... you are nothing like I thought you would be.",How do you mean?
634,"Hey, big...",Shhhh!
635,...spender.,She's still asleep.
636,So how'd it go?,"Oh, it was amazing. You know how you always think you're great in bed?"
637,The fact that you'd even ask that question shows how little you know me.,"Well, it's like, last night, I couldn't do the thing that usually makes me great. So I had to do all this other stuff. And the response I got... man, oh man, it was like a ticker tape parade!"
638,"Yes, I know, as it happens my room is very very close to the parade route.","It was amazing! And not just for her... uh-uh. For me, too. It's like, all of a sudden, I'm blind. But all my other senses are heightened, y'know? It's like... I was able to appreciate it on another level."
639,I didn't know you had another level.,I know! Neither did I!
640,Behind my brother's back? ... is exactly the kind of crazy thing you won't be hearing from me.,Seven hundred bucks!
641,"Alright, you did it! Do we have any fruit?","Man, hell of a two weeks, huh? Y'know what, though? I really feel like I learned something."
642,"Really? So, you're gonna stick with this 'it's all for her' thing?","What, are you crazy? When a blind man gets his sight back, does he walk around like this?"
643,"Oh my god. This is huge. This is bigger than huge. This is like, all right, what's bigger than huge?","Um, this?"
644,"That's all right, Rach, we got the bags. Hi, hello. Julie, this is my sister Monica. This is Chandler. Phoebe. Joey, what up?",What up?!
645,"I know I'm not, but you are, and I was trying to spare your feelings.","Hello? Oh, hi. Yeah, hold on a second. Ross, it's Julie, for you."
646,Hi. Anybody know a good tailor?,Needs some clothes altered?
647,"No, no, I'm just looking for a man to draw on me with chalk.","Why don't you go see Frankie? My family's been goin' to him forever. He did my first suit when I was 15. No wait, 16. No, 'scuse me, 15. All right, when was 1990?"
648,,"You know, I think I was sixteen."
649,"Uh, morning. Do you guys think you could close your eyes for just a sec?","No-no-no-no-no, I'm not fallin' for that again."
650,At his apartment. Is this juice?,"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?"
651,"Well, in spite of the yummy bagels and palpable tension, I've got pants that need to be altered.","Hey, Chandler, when you see Frankie, tell him Joey Tribbiani says hello. He'll know what it means."
652,"I'm not gonna lie to you, Ross, it doesn't look good. I put a clip on one side, which seems to have stopped the curling.",Can we see her?
653,Yeah.,How're you doing?
654,I'm okay.,"Ooh, that bad, huh?"
655,What?,"Look, I can sense when women are depressed and vulnerable. It's one of my gifts."
656,"When I saw him get off that plane with her, I really thought I hit rock bottom. But today, it's like there's rock bottom, 50 feet of crap, then me.",You gotta tell Ross how you feel.
657,Come on. How can I just tell him? What about Julie?,What about her? They've only been going out for two weeks. Ross has been in love with you for like 10 years.
658,"I don't know, I don't know.","Look, Rach, Rach! I've been with my share of women. In fact, I've been with like a lot of people's share of women. The point is, I've never felt about anyone the way Ross felt about you."
659,"Yo, paisan! Can I talk to you for a sec? Your tailor is a very bad man!",Frankie? What're you talking about?
660,What?,No way. I've been going to the guy for 12 years.
661,Cupping.,"That's how they do pants! First they go up one side, they move it over, then they go up the other side, they move it back, and then they do the rear. What? Ross, Ross, would you tell him? Isn't that how they measure pants?"
662,"Yes, yes it is. In prison! Whatsa matter with you?",What? That's not? Oh my God.
663,Okay.,"Hey, when the doctor does that hernia test..."
664,Okay. Okay. Okay.,"I swear to god, Dad. That's not how they measure pants."
665,"You know, it's... something funny about sneakers. I'll be right back.","I gotta get one, too."
666,"Look, would you guys grow up? That is the most natural beautiful thing in the world.","Yeah, we know, but there's a baby suckin' on it."
667,Sure.,"Uh, does it hurt?"
668,"It did at first, but not anymore.",Chandler?
669,As much as he needs.,"Ok, I got one, I got one. Uh, if he blows into one, does the other one get bigger?"
670,Hi!,Monica what're you doin'? You can't go shopping with her? What about Rachel?
671,,Bijan for men? Bijan for men? Bijan for men? Hey Annabelle.
672,"Hey, Joey. So did you hear about the new guy?",Who?
673,Hombre?,What's he doin' in my section?
674,I guess he doesn't know.,"Well, he's gonna. I'll see you a little later, ok? Hey, how ya doin'?"
675,Mornin'.,"Listen, I know you're new, but it's kinda understood that everything from Young Men's to the escalator is my territory."
676,"Your territory, huh?",Yeah. Bijan for men?
677,,"Bijan for men? Bijan for men? Bijan for... Hey, Annabelle, Uh, listen, I was wondering if maybe after work you and I could go maybe grab a cup of coffee."
678,You bet. Maybe some other time?,"Hey, it's not the first time I lost a girl to a cowboy spraying cologne. Bijan for men? Bijan for men?!"
679,"Phoebe, that is juice, squeezed from a person.",What is the big deal?
680,Come on. It doesn't taste bad.,"Yeah, it's kinda sweet, sorta like, uh..."
681,Cantaloupe juice.,Exactly.
682,Howdy.,"Gimme a box a juice. Well, they switched me over to Hombre."
683,"Well, maybe it's because of the way you're dressed.","Or maybe it's because this guy's doing so good they wanna put more people on it. You should see this guy, Chandler, he goes through two bottles a day."
684,What do you care? You're an actor. This is your day job. This isn't supposed to mean anything to you.,"I know, but, I was the best, you know? I liked being the best. I don't know. Maybe I should just get outta the game. They need guys up in housewares to serve cheese."
685,"All right, say you do that. You know sooner or later somebody's gonna come along that slices a better cheddar. And then where're you gonna run?",Yeah I guess you're right.
686,You're damn right I'm right. I say you show this guy what you're made of. I say you stand your ground. I say you show him that you are the baddest hombre west of the lingerie.,I'm gonna do it.
687,,"Mornin'. I said, mornin'."
688,Ready.,"Yeah, I'm ready."
689,"My god, what happened?","These new kids, they never last. Sooner or later, they all...stop lastin'. Listen, uh, what do you say I buy you that cup of coffee now?"
690,How many perfectly fine women are you gonna reject over the most superficial insignificant things?,"Hold it hold it. I gotta side with Chandler on this one. When I first moved to the city, I went out a couple of times with this girl, really hot, great kisser, but she had the biggest Adam's apple. It made me nuts."
691,"I got it. Uh, Joey, women don't have Adam's apples.","You guys are messin' with me, right?"
692,Yeah.,"""That was a good one. For a second there, I was like, """"whoa."""""""
693,"""""""Oh, my, god.""""""","""""""Oh, Chandler, now, now, that's it. There, faster!"""""""
694,"I'm sorry, but sometimes they need help. That's fine. Go ahead and scoff. You know, there're a lot of things that I don't believe in, but that doesn't mean they're not true.",Such as?
695,"Actually, I think this apartment sullies the good name of crap",Check this out. Can I have this?
696,"""Hey, look at this. """"My Big Book of Grievances.""""""","Hey, there's me! April 17th. Excessive noise. Italian guy comes homes with a date. Hey Chandler, look, you're in here too."
697,Is there blood coming out of my ears?,"Check it out, check it out. Heckles' high school yearbook."
698,He's even kind of cute.,"""""""Heckles, you crack me up in science class. You're the funniest kid in school."""
699,Funniest? Heckles?,That's what it says.
700,Whoa!,What?
701,"Heckles played clarinet in band, and I played clarinet. And he was in the scale modeler's club, and I was, well, there was no club, but I sure thought they were cool.","So, you were both dorks. Big deal."
702,"I just think it's weird, you know? Heckles and me, Heckles, and me, me and Heckles...Would you knock it off?",Have you been here all night?
703,"Look at this. Pictures of all the women that Heckles went out with. Look what he wrote on them. Vivian, too tall. Madge, big gums. Too loud, too smart, makes noise when she eats. This is, this is me. This is what I do. I'm gonna end up alone, just like he did.","Chandler, Heckles was a nut case."
704,"Our trains are on the same track, ok? Yeah, sure, I'm coming up 30 years behind him, but the stops are all the same. Bitter Town. Aloneville. Hermit Junction.","All right, you know what we gotta do? We gotta get you outta here. Come on, I'll buy you breakfast, let's go."
705,"""What if I never find someone? Or worse, what if I've found her, but I dumped her because she pronounced it """"supposably""""?""","Chandler, come on, you're gonna find somebody."
706,How do you know that? How?,"I don't know, I'm just tryin' to help you out."
707,"You'll see, you guys are all gonna go off and get married, and I'm gonna end up alone. Will you promise me something? When you're married, will you invite me over for holidays?","Well, I don't know. I don't know what we're gonna be doin'. I mean, what if we're at her folks' place?"
708,"Yeah, I understand.","You can come over and watch the Super Bowl. Every year, all right?"
709,You know what? I'm not gonna end up like this. I'll see you man.,Supposably. Supposably. Did they go to the zoo? Supposably.
710,"Oh, my, god!","Geez, look how fat she got."
711,"Hey. Well, you will all be pleased to know that I have a date tomorrow night. This woman, Alison, from work. She's great. She's pretty, she's smart. And uh, I've been holding off on asking her out in the past, because she has an unusually large head. But, I'm not gonna let that stuff hang me up anymore. Look at me. I'm growing.","Hey, uh, you can't recycle yearbooks, can you?"
712,I'll take that.,You want his yearbook?
713,"Takin' that with you, huh?","Oh, yeah."
714,,"This is unbelievable Phoebs, how can you be married?"
715,"Oh as, as opposed to your other multi-functional nipples?",I can't believe you. You told me it was a nubbin.
716,"Joey, what did you think a nubbin was?","I don't know, you see somethin', you hear a word, I thought that's what it was. Let me see it again."
717,You were in a porno?,"Ahh, alright, alright, alright, I was young and I just wanted a job, OK. But at the last minute I couldn't go through with it so they let me be the guy who comes in to fix the copier but can't 'cause there's people havin' sex on it."
718,"Yeah, is there a hair on it?",What happens if you flick it?
719,Woah.,Foxy lady.
720,"Um, I'm gonna go meet Duncan, he's skating tonight at the Garden, he's in the Capades.",The Ice Capades?
721,Pop it in.,"I'm fine with it, I mean, if you're OK watching a video filled with two nippled people."
722,Looks to me like he's the one getting the job.,"Shh, OK, here I come, here I come. See I'm comin' to fix the copier, I can't get to the copier, I'm thinkin' what do I do, what do I do. . . so I just watch 'em have sex. And then I say, wait, here's my line, you know that's bad fo r the paper tray."
723,Nice work my friend.,"Thank you. Wait wait wait wait, you see me again. Hang on, the guy's butt's blockin' me. There I am, there I am, there I am, there I am, there I am. . ."
724,"Well, listen, this has been great but I'm officially wiped.","Me too, we should get goin'."
725,I got the time to get to know Julie.,I got time.
726,What?,"Boy that Julie's a talker, huh?"
727,"No, see, I'm trying this new screening thing. You know, I figure if I'm always answering the phone, people'll think I don't have a life. My god, Rodrigo never gets pinned.","Here comes the beep, you know what to do."
728,"Hey, come on, we got the gift, the concert, and the cake.",Do we need a cake?
729,It's Ross.,All right.
730,"So uh, what are you guys doing for dinner tonight?","Well I guess I gotta start savin' up for Ross's birthday, so I guess I'll just stay home and eat dust bunnies."
731,"Do you guys ever get the feeling that um, Chandler and those guys just don't get that we don't make as much money as they do?","""Yes! Yeah, it's like they're always saying """"let's go here, let's go there"""". Like we can afford to go here and there."""
732,"Yes, yes, and it's, and we always have to go to, you know, someplace nice, you know? God, and it's not like we can say anything about it, 'cause, like this birthday thing, it's for Ross.",For Ross.
733,Hey.,Hi.
734,"I'm at work, ordinary day, you know, chop chop chop, sauti, sauti, sauti. All of a sudden, Leon, the manager, calls me into his office. It turns out they fired the head lunch chef, and guess who got the job.","If it's not you, this is a horrible story."
735,"Fortunately, it is me. And, they made me head of purchasing, thank you very much. Anyway, I just ran into Ross and Chandler downstairs, and they think we should go out and celebrate. You know, someplace nice.","Yeah, someplace nice. How much do you think I can get for my kidney?"
736,"Oh, wait, and I got a beeper!",Cool.
737,"Oh, sorry.","Sorry, sorry."
738,"Yeah, these are pretty ch-ching.","What are these, like famous chickens?"
739,And for the gentleman?,"Yeah, I'll have the Thai chicken pizza. But, hey, look, if I get it without the nuts and leeks and stuff, is it cheaper?"
740,"Oh, you're right, I'm sorry.",Thank you.
741,"Fine. All right, fine.",Yeah.
742,"Hello, it's us, all right? It'll be fine.","Ok, um, uh, we three feel like, that uh, sometimes you guys don't get that uh, we don't have as much money as you."
743,"So um, how come you guys haven't talked about this before?","'Cause it's always somethin', you know, like Monica's new job, or the whole Ross's birthday hoopla."
744,Ok.,Yeah.
745,Thank you.,Thanks.
746,Could you be less enthused?,"Look, it's a nice gesture, it is. But it just feels like--"
747,Like?,Charity.
748,"If you guys feel this big, maybe that's not our fault. Maybe that's just how you feel.","Oh, now you're tellin' us how you feel."
749,Me neither.,Me too.
750,Fine.,Fine.
751,,"Come on you guys, one more time."
752,Ok. One.,Nooo.
753,"Yeah, we really missed you guys.","Yeah, look, we were just saying, this whole thing is really stupid."
754,"It wasn't so much a party as...a gathering of people, with food, and music, and, and the band.",You partied with Hootie and the Blowfish?
755,I don't know what to say. I'm sorry that we make more money than you. But we're not gonna feel guilty about it. We work really hard for it.,And we don't work hard?
756,I'm just saying that sometimes we like to do stuff that costs a little more.,And you feel like we hold you back.
757,Here's your check. That'll be $4.12.,Let me get that. You got five bucks?
758,Can I uh see something?,Cool.
759,"Monica, will you stop? This is nuts. Do you know how long it's gonna be before you actually have to deal with this problem? I mean, you don't even have a boyfriend yet. Joey, she does not look fat.","Goo, goo, goo, waaah!"
760,That is so funny. Let me see that.,"Are you ok, Ross?"
761,"All right, get your coat, we're going to the hospital.",Is he gonna be ok?
762,I don't think tho.,"What? I have seven Catholic sisters. I've taken care of hundreds of kids. Come on, we wanna do it, don't we?"
763,"Ok, well, if you do take him out for his walk, you might wanna bring his hat, and there's extra milk in the fridge, and there's extra diapers in the bag.","Hat, milk, got it."
764,??? Thro up a thro thro--a thro thro!,Consider it done.
765,You understood that?,"Yeah, my uncle Sal has a really big tongue."
766,"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?","It's gonna be worth it. It's a known fact that women love babies, all righ? Women love guys who love babies. It's that whole sensitive thing. Quick, aim him at that pack o' babes over there. Maybe one of them will break away. No, no wait, for get them, we got one, hard left. All right, gimme the baby."
767,"No, I got him.","No, seriously."
768,"Well, don't, don't think me immodest, but, me?",You wanna smell him?
769,I assume we're talking about the baby now.,"Oh, yeah. He's got that great baby smell. Get a whiff of his head."
770,I think my uterus just skipped a beat.,What'd I tell you? What'd I tell you?
771,"That's a good plan, Joe. Next time we wanna pick up women, we should just go to the park and make out. Taxi, taxi!","Hey, hey, look at that talent."
772,So what are you guys out doing today?,"Oh we're not out. No, no. We're just uh, two heterosexual guys, hanging with the son of our other heterosexual friend, doin' the usual straight guy stuff."
773,You done?,Yeah.
774,"Oh, there's our stop.",Get outta here. This is our stop too.
775,You guys live around here too?,"Oh, yeah, yeah, sure. We live in the building by the uh sidewalk."
776,You know it?,"Hey, look, since we're neighbors and all, what do you say we uh, get together for a drink?"
777,"Come on, pick up, pick up! Hello? Transit Authority? Yes, hello. I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus. Yes I do realize that would be a very stupid charact er.","Hi, here's the deal. We lost a carseat on a bus today. It's white plastic, with a handle, and it fits onto a stroller. Oh, and there was a baby in it. He wants to talk to you again."
778,That's me.,I'm him.
779,Please tell me you know which one is our baby.,"Well, well that one has ducks on his t-shirt, and this one has clowns. And Ben was definitely wearing ducks."
780,Ok.,"Or clowns. Oh, oh wait. That one's definitely Ben. Remember, he had that cute little mole by his mouth."
781,Yeah?,Yeah.
782,"Hey, Ben, remember us? Ok, the mole came off.",Ahh!
783,What're we gonna do? What're we gonna do?,"Uh, uh, we'll flip for it. Ducks or clowns."
784,"Oh, we're gonna flip for the baby?",You got a better idea?
785,"All right, call it in the air.",Heads.
786,Heads it is.,Yes! Whew!
787,We have to assign heads to something.,"Right. Ok, ok, uh, ducks is heads, because ducks have heads."
788,"Hey, he's not crying.",Yes! There's still pie.
789,"I'm here. How's my little boy? Want Daddy to change your diaper? So, did you have fun with Uncle Joey and Uncle Chandler today?","Oh, yeah, he rode the bus today."
790,"Oh, um, it was nice. Took him to a romantic restraunt, ordered champagne, nice.","The guy still won't put out, huh?"
791,"Look, I, y'know, I don't mind taking it slow, I like him a lot, y'know he's really interesting and he's really sweet and why won't he give it up?","Maybe he, uhh... drives his car on the other side of the road, if ya know what I mean."
792,"No, whad'ya mean? He's not British.",Maybe he's. . . gay.
793,"What? C'mon you guys, I don't care, I have a date tonight.","Woah, woah, woah, you have a date?"
794,"Yeah, Monica's settin' me up.","But uh, uh, what about uh, Ross and uh. . .?"
795,Alright.,You're getting a cat?
796,"So, I figured it out.",What?
797,Why Scott doesn't want to sleep with me. It's 'cause I'm not sexy enough.,"""Phoebe, that's crazy. When I first met you, you know what I said to Chandler? I said, """"Excellent butt, great rack."""""""
798,"Really? That's so sweet. I mean, I'm officially offended but, sweet.","Phoebs look, if you want to know what the deal is, you're just gonna have to ask him."
799,Hey Joey.,Hey Phoebs.
800,How come you're watching a rabbi play electric guitar?,I can't find the remote. Thank you.
801,"So, Scott asked me to come over for lunch today and I did.",And?
802,And we did.,"All right Phoebs, way to go."
803,Yay me.,"So, so how did it happen?"
804,"Well, I finally took your advice and asked him what was going on.",And what did he say?
805,"He said that, um, he understands how sex can be like, a very emotional thing for a woman and he was just afraid that I was gonna get all, y'know, like, 'ohh, is he gonna call me the next day' and, y'know, 'where is this going' and, ya know, blah-la-la-la-la. So he said he wanted to hold off until he was prepared to be really serious.",Wow.
806,"""Yeah, so I said, """"OK, relax please,"""" y'know, I mean, sex can be just about two people right there in the moment, y'know, it's, if he wants to see me again he can call and if not, that's fine too. So after a looooot of talking. . . I convinced him.""","Let me get this straight. He got you to beg to sleep with him, he got you to say he never has to call you again, and he got you thinking this was a great idea."
807,Um-hum.,This man is my God.
808,"And, uh, and then I kissed her.",Tongue?
809,Yeah.,Cool.
810,There are no jobs. There are no jobs for me.,"Wait, here's one. Uh, would you be willing to cook naked?"
811,There's an ad for a naked chef?,"No, but if you're willing to cook naked, then you might be willing to dance naked. And then..."
812,"Yeah, it was, but...I get home, ok, and I see Julie's saline solution on my night table. And I'm thinking to myself, oh my god, what the hell am I doing? I mean, here I am, I am with Julie, this incredible, great woman, who I care about and who cares about me, and I'm like, what, am I just gonna throw all that away?",You got all that from saline solution?
813,"Ok, all right.","Hey, Julie, I didn't know you wore lenses."
814,"Oh, I know. This must be so hard. Oh, no. Two women love me. They're both gorgeous and sexy. My wallet's too small for my fifties, and my diamond shoes are too tight.","Hey, here's a thought, Ross."
815,Don't touch the computer. Don't ever touch the computer.,"Ross, listen. I got two words for you. Threesome."
816,"No, Amish boy.","Ok, let's start with the cons, 'cause they're more fun. All right, Rachel first."
817,"I don't know. I mean, all right, I guess you can say she's a little spoiled sometimes.",You could say that.
818,I don't know.,"Oh, her ankles are a little chubby."
819,"I'm telling you this thing won't print. Yes, I pressed that button like 100 times. You know, for a hot line you are not so hot. What? What is that in the background? Are you watching Star Trek?","Hey, so how'd it go with Julie? Did you, did you break her heart?"
820,"Well, uh.","He broke up with Julie. Well, go hug her, for god's sakes."
821,Come on.,"Hey, uh, why don't you read it to her?"
822,I... I cannot believe Ross even made this list. What a dinkus.,"Hey, cut him some slack. It was Chandler's idea."
823,Number six: the way you smell.,"Hey, Ross! What are you doin'?"
824,"Hey, Joey. You wanna open the window?","Oh, yeah, I do."
825,"Well, then, I guess that's the difference between us. See, I'd never make a list.","I never know how long you're supposed to wait in this type of a situation before you can talk again, you know? Maybe a little longer."
826,"Ooh, ooh, ooh, ooh, ooh. Ugly Naked Guy is decorating his tree. Oh my God, you should see the size of his Christmas Balls.",Hey.
827,Hey.,"Hey, how much did you guys tip the super this year?"
828,And twenty-five it is.,You gave him cookies?
829,"Oh, and the newspaper delivery guy.",Oh my God.
830,What?,"Uhhh, I don't think you're gonna like this."
831,,"I can't believe it's Christmas already. Ya know, I mean, one day your eatin' turkey, the next thing ya know, your lords are a-leapin' and you geese are a-layin'."
832,"Um, just some presents.",C'mon show us what you bought. . . You know you want to.
833,Wow.,"So anyway, I'm trying to get my boss's ex-wife to sleep with me. . ."
834,Joey!,"Oh, but when Phoebe has a problem, everyone's all ears!"
835,I hope she's OK.,"Yeah, I know exactly what she's goin' through."
836,How do you know exactly what she's going through?,She told us.
837,"Well, maybe the mailman liked the cookies, we just didn't give him enough.","Monica, pigeons learn faster that you."
838,,Phoebe here with the cab yet?
839,"Yeah, she, she brought the invisible cab. . . hop in.","Well she better get here soon, the outlet stores close at 7."
840,"Hey, don't worry. I figure it'll be 2 hours to Phoebe's dad's house, they'll meet, they'll chat, they'll swap life stories, we'll still have plenty of time.","Hey, here she comes."
841,Hey.,Hey.
842,Hey.,Hey.
843,Eeeshk.,"Yeah, big stuff."
844,Hey!,Hey.
845,Yeah.,Sure is.
846,Alright.,Good luck Phoebs.
847,OK.,How far'd ya get?
848,Uh-huh.,"Phoebs, what's goin' on?"
849,"No, it's just like, ya know, it's a whole mess of stuff, ya know. It's like, yesterday, ya know, my dad was this, like, famous Burma tree surgeon guy and, ya know, now he's a, a pharmacist guy and. . .","Well, maybe he's, maybe he's this really cool pharmacist guy."
850,"Well, 'cause, I mean, what if, what if he's not this great dad guy? I mean, what if, what if he's just still the dirtbag who ran out on my mom and us? You know what? I've already lost a fake dad this week and I don't think I'm ready to lose a real one.","Phoebs, that's OK. You took a big step today."
851,"Yeah, and someday when you're ready, you'll make it past the hedges.","Yeah, and when you do, he'll be lucky to have you."
852,"Oh, that's OK, we'll figure something out.","Uh, listen Phoebs, I know you're not goin' in there but do you think it'd be alright if I went in and used his bathroom? Oh, that's fine, never mind. Cool, snow, kinda like a blank canvas."
853,"Ho, ho, ho, holy crap is it hot in here!","Really, hey, you mind if I turn the heat down?"
854,"Hey, guys, it's after midnight, merry Christmas everyone.","Hey, Monica, the knob was broken so I just turned it off from underneath, I hope that's alright."
855,,"Rach, these are for you."
856,Wiper blades. I don't even have a car.,"No, but with this new car smell, you'll think you do."
857,"Ahh, toilet seat covers! Is that what you were doing while I was getting gas?",Uh-huh.
858,You guuuyys.,"And for Ross, Mr. Sweet-tooth."
859,And last but not least.,They're ribbed for your pleasure.
